UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2025-01-01 06:15:00,2025-01-01 00:00:00,2025-01-01 00:15:00,2025-01-01,1,17.9,17.9,17.9
2025-01-01 06:30:00,2025-01-01 00:15:00,2025-01-01 00:30:00,2025-01-01,1,17.98,17.98,17.98
2025-01-01 06:45:00,2025-01-01 00:30:00,2025-01-01 00:45:00,2025-01-01,1,18.21,18.21,18.21
2025-01-01 07:00:00,2025-01-01 00:45:00,2025-01-01 01:00:00,2025-01-01,1,18.22,18.22,18.22
2025-01-01 07:15:00,2025-01-01 01:00:00,2025-01-01 01:15:00,2025-01-01,2,17.97,17.97,17.97
2025-01-01 07:30:00,2025-01-01 01:15:00,2025-01-01 01:30:00,2025-01-01,2,18.06,18.06,18.06
2025-01-01 07:45:00,2025-01-01 01:30:00,2025-01-01 01:45:00,2025-01-01,2,17.36,17.36,17.36
2025-01-01 08:00:00,2025-01-01 01:45:00,2025-01-01 02:00:00,2025-01-01,2,17.36,17.36,17.36
2025-01-01 08:15:00,2025-01-01 02:00:00,2025-01-01 02:15:00,2025-01-01,3,17.3,17.3,17.3
2025-01-01 08:30:00,2025-01-01 02:15:00,2025-01-01 02:30:00,2025-01-01,3,17.13,17.13,17.13
2025-01-01 08:45:00,2025-01-01 02:30:00,2025-01-01 02:45:00,2025-01-01,3,16.99,16.99,16.99
2025-01-01 09:00:00,2025-01-01 02:45:00,2025-01-01 03:00:00,2025-01-01,3,16.96,16.96,16.96
2025-01-01 09:15:00,2025-01-01 03:00:00,2025-01-01 03:15:00,2025-01-01,4,17.62,17.75,17.6
2025-01-01 09:30:00,2025-01-01 03:15:00,2025-01-01 03:30:00,2025-01-01,4,17.21,17.34,17.19
2025-01-01 09:45:00,2025-01-01 03:30:00,2025-01-01 03:45:00,2025-01-01,4,17.04,17.5,16.96
2025-01-01 10:00:00,2025-01-01 03:45:00,2025-01-01 04:00:00,2025-01-01,4,16.52,16.95,16.44
2025-01-01 10:15:00,2025-01-01 04:00:00,2025-01-01 04:15:00,2025-01-01,5,16.77,17.08,16.71
2025-01-01 10:30:00,2025-01-01 04:15:00,2025-01-01 04:30:00,2025-01-01,5,17.45,17.71,17.39
2025-01-01 10:45:00,2025-01-01 04:30:00,2025-01-01 04:45:00,2025-01-01,5,19.92,20.24,19.85
2025-01-01 11:00:00,2025-01-01 04:45:00,2025-01-01 05:00:00,2025-01-01,5,20.62,21.01,20.54
2025-01-01 11:15:00,2025-01-01 05:00:00,2025-01-01 05:15:00,2025-01-01,6,19.95,20.5,19.85
2025-01-01 11:30:00,2025-01-01 05:15:00,2025-01-01 05:30:00,2025-01-01,6,20.12,20.6,20.03
2025-01-01 11:45:00,2025-01-01 05:30:00,2025-01-01 05:45:00,2025-01-01,6,21.41,21.85,21.33
2025-01-01 12:00:00,2025-01-01 05:45:00,2025-01-01 06:00:00,2025-01-01,6,20.5,20.81,20.45
2025-01-01 12:15:00,2025-01-01 06:00:00,2025-01-01 06:15:00,2025-01-01,7,20.49,20.69,20.45
2025-01-01 12:30:00,2025-01-01 06:15:00,2025-01-01 06:30:00,2025-01-01,7,20.39,20.48,20.37
2025-01-01 12:45:00,2025-01-01 06:30:00,2025-01-01 06:45:00,2025-01-01,7,20.86,21.12,20.75
2025-01-01 13:00:00,2025-01-01 06:45:00,2025-01-01 07:00:00,2025-01-01,7,21.46,22.47,21.04
2025-01-01 13:15:00,2025-01-01 07:00:00,2025-01-01 07:15:00,2025-01-01,8,20.94,22.07,20.47
2025-01-01 13:30:00,2025-01-01 07:15:00,2025-01-01 07:30:00,2025-01-01,8,21.62,23.07,21.03
2025-01-01 13:45:00,2025-01-01 07:30:00,2025-01-01 07:45:00,2025-01-01,8,22.25,23.86,21.59
2025-01-01 14:00:00,2025-01-01 07:45:00,2025-01-01 08:00:00,2025-01-01,8,21.95,23.56,21.28
2025-01-01 14:15:00,2025-01-01 08:00:00,2025-01-01 08:15:00,2025-01-01,9,21.88,23.49,21.22
2025-01-01 14:30:00,2025-01-01 08:15:00,2025-01-01 08:30:00,2025-01-01,9,20.0,21.6,19.33
2025-01-01 14:45:00,2025-01-01 08:30:00,2025-01-01 08:45:00,2025-01-01,9,15.47,15.49,15.46
2025-01-01 15:00:00,2025-01-01 08:45:00,2025-01-01 09:00:00,2025-01-01,9,14.74,14.74,14.74
2025-01-01 15:15:00,2025-01-01 09:00:00,2025-01-01 09:15:00,2025-01-01,10,14.78,14.78,14.78
2025-01-01 15:30:00,2025-01-01 09:15:00,2025-01-01 09:30:00,2025-01-01,10,14.06,14.06,14.06
2025-01-01 15:45:00,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01,10,11.48,11.48,11.48
2025-01-01 16:00:00,2025-01-01 09:45:00,2025-01-01 10:00:00,2025-01-01,10,9.49,9.49,9.49
2025-01-01 16:15:00,2025-01-01 10:00:00,2025-01-01 10:15:00,2025-01-01,11,8.09,8.09,8.09
2025-01-01 16:30:00,2025-01-01 10:15:00,2025-01-01 10:30:00,2025-01-01,11,9.39,9.39,9.39
2025-01-01 16:45:00,2025-01-01 10:30:00,2025-01-01 10:45:00,2025-01-01,11,9.94,9.94,9.94
2025-01-01 17:00:00,2025-01-01 10:45:00,2025-01-01 11:00:00,2025-01-01,11,11.02,11.02,11.02
2025-01-01 17:15:00,2025-01-01 11:00:00,2025-01-01 11:15:00,2025-01-01,12,13.29,13.29,13.29
2025-01-01 17:30:00,2025-01-01 11:15:00,2025-01-01 11:30:00,2025-01-01,12,14.07,14.1,14.07
2025-01-01 17:45:00,2025-01-01 11:30:00,2025-01-01 11:45:00,2025-01-01,12,14.23,14.31,14.22
2025-01-01 18:00:00,2025-01-01 11:45:00,2025-01-01 12:00:00,2025-01-01,12,14.73,14.99,14.71
2025-01-01 18:15:00,2025-01-01 12:00:00,2025-01-01 12:15:00,2025-01-01,13,15.22,15.5,15.19
2025-01-01 18:30:00,2025-01-01 12:15:00,2025-01-01 12:30:00,2025-01-01,13,15.34,15.7,15.3
2025-01-01 18:45:00,2025-01-01 12:30:00,2025-01-01 12:45:00,2025-01-01,13,14.75,15.17,14.7
2025-01-01 19:00:00,2025-01-01 12:45:00,2025-01-01 13:00:00,2025-01-01,13,14.65,14.89,14.62
