UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,Houston LMP,Hub average LMP,North LMP,Panhandle LMP,South LMP,West LMP
2021-10-01 05:15:00,2021-10-01 00:00:00,2021-10-01 00:15:00,2021-10-01,1,41.08,41.08,41.08,41.08,41.08,41.08,41.08
2021-10-01 05:30:00,2021-10-01 00:15:00,2021-10-01 00:30:00,2021-10-01,1,44.0,44.0,44.0,44.0,44.0,44.0,44.0
2021-10-01 05:45:00,2021-10-01 00:30:00,2021-10-01 00:45:00,2021-10-01,1,42.72,42.72,42.72,42.72,42.72,42.72,42.72
2021-10-01 06:00:00,2021-10-01 00:45:00,2021-10-01 01:00:00,2021-10-01,1,44.52,44.52,44.52,44.52,44.52,44.52,44.52
2021-10-01 06:15:00,2021-10-01 01:00:00,2021-10-01 01:15:00,2021-10-01,2,42.78,42.78,42.78,42.78,42.78,42.78,42.78
2021-10-01 06:30:00,2021-10-01 01:15:00,2021-10-01 01:30:00,2021-10-01,2,45.54,44.71,45.83,45.45,48.07,44.62,48.54
2021-10-01 06:45:00,2021-10-01 01:30:00,2021-10-01 01:45:00,2021-10-01,2,43.39,42.6,43.67,43.28,45.8,42.56,46.26
2021-10-01 07:00:00,2021-10-01 01:45:00,2021-10-01 02:00:00,2021-10-01,2,45.16,44.45,45.41,45.06,47.32,44.42,47.73
2021-10-01 07:15:00,2021-10-01 02:00:00,2021-10-01 02:15:00,2021-10-01,3,48.35,47.88,48.51,48.28,49.76,47.86,50.03
2021-10-01 07:30:00,2021-10-01 02:15:00,2021-10-01 02:30:00,2021-10-01,3,49.17,49.17,49.17,49.17,49.17,49.17,49.17
2021-10-01 07:45:00,2021-10-01 02:30:00,2021-10-01 02:45:00,2021-10-01,3,45.71,45.71,45.71,45.71,45.71,45.71,45.71
2021-10-01 08:00:00,2021-10-01 02:45:00,2021-10-01 03:00:00,2021-10-01,3,45.86,45.6,45.95,45.82,46.64,45.59,46.79
2021-10-01 08:15:00,2021-10-01 03:00:00,2021-10-01 03:15:00,2021-10-01,4,45.04,44.76,45.14,45.0,45.89,44.75,46.05
2021-10-01 08:30:00,2021-10-01 03:15:00,2021-10-01 03:30:00,2021-10-01,4,43.9,43.9,43.9,43.9,43.9,43.9,43.9
2021-10-01 08:45:00,2021-10-01 03:30:00,2021-10-01 03:45:00,2021-10-01,4,48.97,48.97,48.97,48.97,48.97,48.97,48.97
2021-10-01 09:00:00,2021-10-01 03:45:00,2021-10-01 04:00:00,2021-10-01,4,48.43,47.87,48.63,48.35,50.13,47.85,50.46
2021-10-01 09:15:00,2021-10-01 04:00:00,2021-10-01 04:15:00,2021-10-01,5,49.99,49.69,50.1,49.95,50.91,49.68,51.09
2021-10-01 09:30:00,2021-10-01 04:15:00,2021-10-01 04:30:00,2021-10-01,5,50.2,50.2,50.2,50.2,50.2,50.2,50.2
2021-10-01 09:45:00,2021-10-01 04:30:00,2021-10-01 04:45:00,2021-10-01,5,49.89,49.89,49.89,49.89,49.89,49.89,49.89
2021-10-01 10:00:00,2021-10-01 04:45:00,2021-10-01 05:00:00,2021-10-01,5,49.29,49.29,49.29,49.29,49.29,49.29,49.29
2021-10-01 10:15:00,2021-10-01 05:00:00,2021-10-01 05:15:00,2021-10-01,6,52.89,52.89,52.89,52.89,52.89,52.89,52.89
2021-10-01 10:30:00,2021-10-01 05:15:00,2021-10-01 05:30:00,2021-10-01,6,50.45,50.45,50.45,50.45,50.45,50.45,50.45
2021-10-01 10:45:00,2021-10-01 05:30:00,2021-10-01 05:45:00,2021-10-01,6,50.21,50.21,50.21,50.21,50.21,50.21,50.21
2021-10-01 11:00:00,2021-10-01 05:45:00,2021-10-01 06:00:00,2021-10-01,6,50.07,50.07,50.07,50.07,50.07,50.07,50.07
2021-10-01 11:15:00,2021-10-01 06:00:00,2021-10-01 06:15:00,2021-10-01,7,51.45,51.45,51.45,51.45,51.45,51.45,51.45
2021-10-01 11:30:00,2021-10-01 06:15:00,2021-10-01 06:30:00,2021-10-01,7,51.13,51.13,51.13,51.13,51.13,51.13,51.13
2021-10-01 11:45:00,2021-10-01 06:30:00,2021-10-01 06:45:00,2021-10-01,7,66.15,66.15,66.15,66.15,66.15,66.15,66.15
2021-10-01 12:00:00,2021-10-01 06:45:00,2021-10-01 07:00:00,2021-10-01,7,54.27,54.27,54.27,54.27,54.27,54.27,54.27
2021-10-01 12:15:00,2021-10-01 07:00:00,2021-10-01 07:15:00,2021-10-01,8,61.72,61.72,61.72,61.72,61.72,61.72,61.72
2021-10-01 12:30:00,2021-10-01 07:15:00,2021-10-01 07:30:00,2021-10-01,8,53.06,53.06,53.06,53.06,53.06,53.06,53.06
2021-10-01 12:45:00,2021-10-01 07:30:00,2021-10-01 07:45:00,2021-10-01,8,51.01,51.01,51.01,51.01,51.01,51.01,51.01
2021-10-01 13:00:00,2021-10-01 07:45:00,2021-10-01 08:00:00,2021-10-01,8,51.99,51.99,51.99,51.99,51.99,51.99,51.99
2021-10-01 13:15:00,2021-10-01 08:00:00,2021-10-01 08:15:00,2021-10-01,9,52.66,52.66,52.66,52.66,52.66,52.66,52.66
