Date,Time,Temperature_F
2024-12-12,01:00 AM,46
2024-12-12,02:00 AM,46
2024-12-12,03:00 AM,43
2024-12-12,04:00 AM,41
2024-12-12,05:00 AM,39
2024-12-12,06:00 AM,42
2024-12-12,07:00 AM,39
2024-12-12,08:00 AM,38
2024-12-12,09:00 AM,43
2024-12-12,10:00 AM,49
2024-12-12,11:00 AM,54
2024-12-12,12:00 PM,57
2024-12-12,01:00 PM,60
2024-12-12,02:00 PM,61
2024-12-12,03:00 PM,61
2024-12-12,04:00 PM,60
2024-12-12,05:00 PM,59
2024-12-12,06:00 PM,57
2024-12-12,07:00 PM,54
2024-12-12,08:00 PM,54
2024-12-12,09:00 PM,55
2024-12-12,10:00 PM,54
2024-12-12,11:00 PM,54
2024-12-13,12:00 AM,54
2024-12-13,01:00 AM,54
2024-12-13,02:00 AM,53
2024-12-13,03:00 AM,53
2024-12-13,04:00 AM,52
2024-12-13,05:00 AM,52
2024-12-13,06:00 AM,52
2024-12-13,07:00 AM,52
2024-12-13,08:00 AM,52
2024-12-13,09:00 AM,53
2024-12-13,10:00 AM,53
2024-12-13,11:00 AM,55
2024-12-13,12:00 PM,56
2024-12-13,01:00 PM,57
2024-12-13,02:00 PM,58
2024-12-13,03:00 PM,57
2024-12-13,04:00 PM,56
2024-12-13,05:00 PM,55
2024-12-13,06:00 PM,55
2024-12-13,07:00 PM,55
2024-12-13,08:00 PM,55
2024-12-13,09:00 PM,56
2024-12-13,10:00 PM,56
2024-12-13,11:00 PM,56
2024-12-14,12:00 AM,57
2024-12-14,01:00 AM,58
2024-12-14,02:00 AM,59
2024-12-14,03:00 AM,59
2024-12-14,04:00 AM,60
2024-12-14,05:00 AM,60
2024-12-14,06:00 AM,60
2024-12-14,07:00 AM,61
2024-12-14,08:00 AM,62
2024-12-14,09:00 AM,63
2024-12-14,10:00 AM,64
2024-12-14,11:00 AM,67
2024-12-14,12:00 PM,68
2024-12-14,01:00 PM,69
2024-12-14,02:00 PM,71
2024-12-14,03:00 PM,72
2024-12-14,04:00 PM,73
2024-12-14,05:00 PM,73
2024-12-14,06:00 PM,68
2024-12-14,07:00 PM,61
2024-12-14,08:00 PM,58
2024-12-14,09:00 PM,57
2024-12-14,10:00 PM,53
2024-12-14,11:00 PM,52
2024-12-15,12:00 AM,55
2024-12-15,01:00 AM,52
2024-12-15,02:00 AM,53
2024-12-15,03:00 AM,50
2024-12-15,04:00 AM,52
2024-12-15,05:00 AM,53
2024-12-15,06:00 AM,55
2024-12-15,07:00 AM,56
2024-12-15,08:00 AM,57
2024-12-15,09:00 AM,57
2024-12-15,10:00 AM,57
2024-12-15,11:00 AM,60
2024-12-15,12:00 PM,59
2024-12-15,01:00 PM,62
2024-12-15,02:00 PM,67
2024-12-15,03:00 PM,71
2024-12-15,04:00 PM,76
2024-12-15,05:00 PM,76
2024-12-15,06:00 PM,75
2024-12-15,07:00 PM,73
2024-12-15,08:00 PM,72
2024-12-15,09:00 PM,71
2024-12-15,10:00 PM,70
2024-12-15,11:00 PM,70
2024-12-16,12:00 AM,70
2024-12-16,01:00 AM,68
2024-12-16,02:00 AM,68
2024-12-16,03:00 AM,68
2024-12-16,04:00 AM,68
2024-12-16,05:00 AM,68
2024-12-16,06:00 AM,68
2024-12-16,07:00 AM,67
2024-12-16,08:00 AM,67
2024-12-16,09:00 AM,67
2024-12-16,10:00 AM,68
2024-12-16,11:00 AM,70
2024-12-16,12:00 PM,73
2024-12-16,01:00 PM,75
2024-12-16,02:00 PM,76
2024-12-16,03:00 PM,77
2024-12-16,04:00 PM,76
2024-12-16,05:00 PM,71
2024-12-16,06:00 PM,69
2024-12-16,07:00 PM,67
2024-12-16,08:00 PM,66
2024-12-16,09:00 PM,62
2024-12-16,10:00 PM,60
2024-12-16,11:00 PM,59
2024-12-17,12:00 AM,56
2024-12-17,01:00 AM,56
2024-12-17,02:00 AM,55
2024-12-17,03:00 AM,54
2024-12-17,04:00 AM,54
2024-12-17,05:00 AM,54
2024-12-17,06:00 AM,53
2024-12-17,07:00 AM,53
2024-12-17,08:00 AM,52
2024-12-17,09:00 AM,52
2024-12-17,10:00 AM,57
2024-12-17,11:00 AM,60
2024-12-17,12:00 PM,63
2024-12-17,01:00 PM,67
2024-12-17,02:00 PM,71
2024-12-17,03:00 PM,73
2024-12-17,04:00 PM,75
2024-12-17,05:00 PM,74
2024-12-17,06:00 PM,73
2024-12-17,07:00 PM,71
2024-12-17,08:00 PM,70
2024-12-17,09:00 PM,71
2024-12-17,10:00 PM,70
2024-12-17,11:00 PM,68
2024-12-18,12:00 AM,67
2024-12-18,01:00 AM,67
2024-12-18,02:00 AM,66
2024-12-18,03:00 AM,66
2024-12-18,04:00 AM,65
2024-12-18,05:00 AM,56
2024-12-18,06:00 AM,54
2024-12-18,07:00 AM,53
2024-12-18,08:00 AM,52
2024-12-18,09:00 AM,50
2024-12-18,10:00 AM,50
2024-12-18,11:00 AM,52
2024-12-18,12:00 PM,54
2024-12-18,01:00 PM,54
2024-12-18,02:00 PM,56
2024-12-18,03:00 PM,57
2024-12-18,04:00 PM,58
2024-12-18,05:00 PM,57
2024-12-18,06:00 PM,54
2024-12-18,07:00 PM,53
2024-12-18,08:00 PM,50
2024-12-18,09:00 PM,49
2024-12-18,10:00 PM,47
2024-12-18,11:00 PM,45
2024-12-19,12:00 AM,43
2024-12-19,01:00 AM,43
2024-12-19,02:00 AM,41
2024-12-19,03:00 AM,41
2024-12-19,04:00 AM,39
2024-12-19,05:00 AM,39
2024-12-19,06:00 AM,38
2024-12-19,07:00 AM,37
2024-12-19,08:00 AM,38
2024-12-19,09:00 AM,39
2024-12-19,10:00 AM,43
2024-12-19,11:00 AM,48
2024-12-19,12:00 PM,52
2024-12-19,01:00 PM,55
2024-12-19,02:00 PM,59
2024-12-19,03:00 PM,60
2024-12-19,04:00 PM,62
2024-12-19,05:00 PM,62
2024-12-19,06:00 PM,60
2024-12-19,07:00 PM,56
2024-12-19,08:00 PM,54
2024-12-19,09:00 PM,54
2024-12-19,10:00 PM,52
2024-12-19,11:00 PM,49
2024-12-20,12:00 AM,48
2024-12-20,01:00 AM,48
2024-12-20,02:00 AM,45
2024-12-20,03:00 AM,45
2024-12-20,04:00 AM,44
2024-12-20,05:00 AM,43
2024-12-20,06:00 AM,42
2024-12-20,07:00 AM,42
2024-12-20,08:00 AM,42
2024-12-20,09:00 AM,43
2024-12-20,10:00 AM,47
2024-12-20,11:00 AM,48
2024-12-20,12:00 PM,51
2024-12-20,01:00 PM,53
2024-12-20,02:00 PM,54
2024-12-20,03:00 PM,56
2024-12-20,04:00 PM,57
2024-12-20,05:00 PM,57
2024-12-20,06:00 PM,53
2024-12-20,07:00 PM,49
2024-12-20,08:00 PM,46
